SEGMENTAÇÃO FINAL,rangeScoreExterno,segmentacaoPolitica,faixaRendaLiquida,flagFuncionario,dataAdmissaoMeses,cpf6e7Digito,isApprovedBau,isApprovedSmallLimits,limiteFixo,alavancagem,limiteTeto,limitePiso,cenario
VR_01,R1,N2.1 - Varejo,QUALQUER,0,QUALQUER,20<=.. <=99,1,0,0,0.3,30000,300,1
VR_01,R1,N2.1 - Varejo,QUALQUER,0,QUALQUER,10<=.. <=19,1,0,0,0.4,30000,300,2
VR_01,R1,N2.1 - Varejo,QUALQUER,0,QUALQUER,00<=.. <=09,1,0,0,0.2,30000,300,3
VR_02,R2,N2.1 - Varejo,QUALQUER,0,QUALQUER,QUALQUER,1,0,0,0.2,30000,300,4
VR_03,R3,N2.1 - Varejo,QUALQUER,0,QUALQUER,QUALQUER,1,0,0,0.2,30000,300,5
VR_04,R4,N2.1 - Varejo,QUALQUER,0,QUALQUER,QUALQUER,1,0,0,0.2,30000,300,6
VR_05_A,R5,N2.1 - Varejo,QUALQUER,0,QUALQUER,20 <= ..<= 89,0,1,100,100.0,100,100,7
VR_05_B,R5,N2.1 - Varejo,QUALQUER,0,QUALQUER,00 <= ..<= 19,0,1,200,200.0,200,200,8
VR_05_C,R5,N2.1 - Varejo,QUALQUER,0,QUALQUER,90 <= ..<= 99,0,1,0,0.3,30000,300,9
VR_06_A,R6,N2.1 - Varejo,QUALQUER,0,QUALQUER,15 <= ..<= 94,0,1,100,100.0,100,100,10
VR_06_B,R6,N2.1 - Varejo,QUALQUER,0,QUALQUER,00 <= ..<= 14,0,1,200,200.0,200,200,11
VR_06_C,R6,N2.1 - Varejo,QUALQUER,0,QUALQUER,95 <= ..<= 99,0,1,0,0.3,30000,300,12
VR_07_A,R7,N2.1 - Varejo,QUALQUER,0,QUALQUER,15 <= ..<= 94,0,1,100,100.0,100,100,13
VR_07_B,R7,N2.1 - Varejo,QUALQUER,0,QUALQUER,00 <= ..<= 14,0,1,200,200.0,200,200,14
VR_07_C,R7,N2.1 - Varejo,QUALQUER,0,QUALQUER,95 <= ..<= 99,0,1,0,0.3,30000,300,15
VR_08_A,R8,N2.1 - Varejo,QUALQUER,0,QUALQUER,15 <= ..<= 94,0,1,100,100.0,100,100,16
VR_08_B,R8,N2.1 - Varejo,QUALQUER,0,QUALQUER,00 <= ..<= 14,0,1,200,200.0,200,200,17
VR_08_C,R8,N2.1 - Varejo,QUALQUER,0,QUALQUER,95 <= ..<= 99,0,1,0,0.3,30000,300,18
VR_09_A,R9,N2.1 - Varejo,QUALQUER,0,QUALQUER,0 <= ..<= 14,0,1,100,100.0,100,100,19
VR_09_E,R9,N2.1 - Varejo,QUALQUER,0,QUALQUER,15 <= ..<= 94,0,1,50,50.0,50,50,20
VR_09_C,R9,N2.1 - Varejo,QUALQUER,0,QUALQUER,95 <= ..<= 99,0,1,0,0.3,30000,300,21
VR_10,R10,N2.1 - Varejo,QUALQUER,0,QUALQUER,QUALQUER,0,0,0,0.2,30000,300,22
VP_01,R1,N2.2 - Varejo+,QUALQUER,0,QUALQUER,00<=.. <=09,1,0,0,0.2,30000,300,23
VP_02,R2,N2.2 - Varejo+,QUALQUER,0,QUALQUER,00<=.. <=09,1,0,0,0.2,30000,300,24
VP_01,R1,N2.2 - Varejo+,QUALQUER,0,QUALQUER,10<=.. <=19,1,0,0,0.4,30000,300,25
VP_02,R2,N2.2 - Varejo+,QUALQUER,0,QUALQUER,10<=.. <=19,1,0,0,0.4,30000,300,26
VP_01,R1,N2.2 - Varejo+,QUALQUER,0,QUALQUER,20<=.. <=99,1,0,0,0.3,30000,300,27
VP_02,R2,N2.2 - Varejo+,QUALQUER,0,QUALQUER,20<=.. <=99,1,0,0,0.3,30000,300,28
VP_03,R3,N2.2 - Varejo+,QUALQUER,0,QUALQUER,QUALQUER,1,0,0,0.2,30000,300,29
VP_04,R4,N2.2 - Varejo+,QUALQUER,0,QUALQUER,QUALQUER,1,0,0,0.2,30000,300,30
VP_05,R5,N2.2 - Varejo+,QUALQUER,0,QUALQUER,QUALQUER,0,0,0,0.2,30000,300,31
VP_06,R6,N2.2 - Varejo+,QUALQUER,0,QUALQUER,QUALQUER,0,0,0,0.2,30000,300,32
VP_07,R7,N2.2 - Varejo+,QUALQUER,0,QUALQUER,QUALQUER,0,0,0,0.2,30000,300,33
VP_08,R8,N2.2 - Varejo+,QUALQUER,0,QUALQUER,QUALQUER,0,0,0,0.2,30000,300,34
VP_09,R9,N2.2 - Varejo+,QUALQUER,0,QUALQUER,QUALQUER,0,0,0,0.2,30000,300,35
VP_10,R10,N2.2 - Varejo+,QUALQUER,0,QUALQUER,QUALQUER,0,0,0,0.2,30000,300,36
AR_01,R1,N2.3 - Alta Renda,QUALQUER,0,QUALQUER,00<=.. <=09,1,0,0,0.2,30000,300,37
AR_02,R2,N2.3 - Alta Renda,QUALQUER,0,QUALQUER,00<=.. <=09,1,0,0,0.2,30000,300,38
AR_01,R1,N2.3 - Alta Renda,QUALQUER,0,QUALQUER,10<=.. <=19,1,0,0,0.4,30000,300,39
AR_02,R2,N2.3 - Alta Renda,QUALQUER,0,QUALQUER,10<=.. <=19,1,0,0,0.4,30000,300,40
AR_01,R1,N2.3 - Alta Renda,QUALQUER,0,QUALQUER,20<=.. <=99,1,0,0,0.3,30000,300,41
AR_02,R2,N2.3 - Alta Renda,QUALQUER,0,QUALQUER,20<=.. <=99,1,0,0,0.3,30000,300,42
AR_03,R3,N2.3 - Alta Renda,QUALQUER,0,QUALQUER,QUALQUER,1,0,0,0.2,30000,300,43
