Data-ID,Result-State,Result-Detail,payloadParam.solicitante.rendaLiquidaPicpay,alavancagem,limitePiso,limiteFixo,limiteTeto,result:limite,expected:limite
1,,,-99999.0,0.2,100,0,100,,100.0
2,,,-99999.0,0.2,100,0,200,,100.0
3,,,-99999.0,0.2,100,0,700,,100.0
4,,,-99999.0,0.2,100,0,1100,,100.0
5,,,-99999.0,0.2,100,0,2000,,100.0
6,,,-99999.0,0.2,100,0,2300,,100.0
7,,,-99999.0,0.2,100,0,2400,,100.0
8,,,-99999.0,0.2,100,0,2500,,100.0
9,,,-99999.0,0.2,100,0,3000,,100.0
10,,,-99999.0,0.2,100,0,3200,,100.0
11,,,-99999.0,0.2,100,0,3400,,100.0
12,,,-99999.0,0.2,100,0,3600,,100.0
13,,,-99999.0,0.2,100,0,3800,,100.0
14,,,-99999.0,0.2,100,0,4000,,100.0
15,,,-99999.0,0.2,100,0,4500,,100.0
16,,,-99999.0,0.2,100,0,5000,,100.0
17,,,-99999.0,0.2,100,0,5500,,100.0
18,,,-99999.0,0.2,100,0,6000,,100.0
19,,,-99999.0,0.2,100,0,7000,,100.0
20,,,-99999.0,0.2,100,0,7500,,100.0
21,,,-99999.0,0.2,100,0,9500,,100.0
22,,,-99999.0,0.2,100,0,9600,,100.0
23,,,-99999.0,0.2,100,0,10000,,100.0
24,,,-99999.0,0.2,100,0,12000,,100.0
25,,,-99999.0,0.2,100,0,15000,,100.0
26,,,-99999.0,0.2,100,0,20000,,100.0
27,,,-99999.0,0.2,100,0,30000,,100.0
28,,,-99999.0,0.2,100,0,40000,,100.0
29,,,-99999.0,0.2,100,100,100,,100.0
30,,,-99999.0,0.2,100,100,200,,100.0
31,,,-99999.0,0.2,100,100,700,,100.0
32,,,-99999.0,0.2,100,100,1100,,100.0
33,,,-99999.0,0.2,100,100,2000,,100.0
34,,,-99999.0,0.2,100,100,2300,,100.0
35,,,-99999.0,0.2,100,100,2400,,100.0
36,,,-99999.0,0.2,100,100,2500,,100.0
37,,,-99999.0,0.2,100,100,3000,,100.0
38,,,-99999.0,0.2,100,100,3200,,100.0
39,,,-99999.0,0.2,100,100,3400,,100.0
40,,,-99999.0,0.2,100,100,3600,,100.0
41,,,-99999.0,0.2,100,100,3800,,100.0
42,,,-99999.0,0.2,100,100,4000,,100.0
43,,,-99999.0,0.2,100,100,4500,,100.0
44,,,-99999.0,0.2,100,100,5000,,100.0
45,,,-99999.0,0.2,100,100,5500,,100.0
46,,,-99999.0,0.2,100,100,6000,,100.0
47,,,-99999.0,0.2,100,100,7000,,100.0
48,,,-99999.0,0.2,100,100,7500,,100.0
49,,,-99999.0,0.2,100,100,9500,,100.0
50,,,-99999.0,0.2,100,100,9600,,100.0
51,,,-99999.0,0.2,100,100,10000,,100.0
52,,,-99999.0,0.2,100,100,12000,,100.0
53,,,-99999.0,0.2,100,100,15000,,100.0
54,,,-99999.0,0.2,100,100,20000,,100.0
55,,,-99999.0,0.2,100,100,30000,,100.0
56,,,-99999.0,0.2,100,100,40000,,100.0
57,,,-99999.0,0.2,100,200,100,,200.0
58,,,-99999.0,0.2,100,200,200,,200.0
59,,,-99999.0,0.2,100,200,700,,200.0
60,,,-99999.0,0.2,100,200,1100,,200.0
61,,,-99999.0,0.2,100,200,2000,,200.0
62,,,-99999.0,0.2,100,200,2300,,200.0
63,,,-99999.0,0.2,100,200,2400,,200.0
64,,,-99999.0,0.2,100,200,2500,,200.0
65,,,-99999.0,0.2,100,200,3000,,200.0
66,,,-99999.0,0.2,100,200,3200,,200.0
67,,,-99999.0,0.2,100,200,3400,,200.0
68,,,-99999.0,0.2,100,200,3600,,200.0
69,,,-99999.0,0.2,100,200,3800,,200.0
70,,,-99999.0,0.2,100,200,4000,,200.0
71,,,-99999.0,0.2,100,200,4500,,200.0
72,,,-99999.0,0.2,100,200,5000,,200.0
73,,,-99999.0,0.2,100,200,5500,,200.0
74,,,-99999.0,0.2,100,200,6000,,200.0
75,,,-99999.0,0.2,100,200,7000,,200.0
76,,,-99999.0,0.2,100,200,7500,,200.0
77,,,-99999.0,0.2,100,200,9500,,200.0
78,,,-99999.0,0.2,100,200,9600,,200.0
79,,,-99999.0,0.2,100,200,10000,,200.0
80,,,-99999.0,0.2,100,200,12000,,200.0
81,,,-99999.0,0.2,100,200,15000,,200.0
82,,,-99999.0,0.2,100,200,20000,,200.0
83,,,-99999.0,0.2,100,200,30000,,200.0
84,,,-99999.0,0.2,100,200,40000,,200.0
85,,,-99999.0,0.2,200,0,100,,100.0
86,,,-99999.0,0.2,200,0,200,,200.0
87,,,-99999.0,0.2,200,0,700,,200.0
88,,,-99999.0,0.2,200,0,1100,,200.0
89,,,-99999.0,0.2,200,0,2000,,200.0
90,,,-99999.0,0.2,200,0,2300,,200.0
91,,,-99999.0,0.2,200,0,2400,,200.0
92,,,-99999.0,0.2,200,0,2500,,200.0
93,,,-99999.0,0.2,200,0,3000,,200.0
94,,,-99999.0,0.2,200,0,3200,,200.0
95,,,-99999.0,0.2,200,0,3400,,200.0
96,,,-99999.0,0.2,200,0,3600,,200.0
97,,,-99999.0,0.2,200,0,3800,,200.0
98,,,-99999.0,0.2,200,0,4000,,200.0
99,,,-99999.0,0.2,200,0,4500,,200.0
100,,,-99999.0,0.2,200,0,5000,,200.0
101,,,-99999.0,0.2,200,0,5500,,200.0
102,,,-99999.0,0.2,200,0,6000,,200.0
103,,,-99999.0,0.2,200,0,7000,,200.0
104,,,-99999.0,0.2,200,0,7500,,200.0
105,,,-99999.0,0.2,200,0,9500,,200.0
106,,,-99999.0,0.2,200,0,9600,,200.0
107,,,-99999.0,0.2,200,0,10000,,200.0
108,,,-99999.0,0.2,200,0,12000,,200.0
109,,,-99999.0,0.2,200,0,15000,,200.0
110,,,-99999.0,0.2,200,0,20000,,200.0
111,,,-99999.0,0.2,200,0,30000,,200.0
112,,,-99999.0,0.2,200,0,40000,,200.0
113,,,-99999.0,0.2,200,100,100,,100.0
114,,,-99999.0,0.2,200,100,200,,100.0
115,,,-99999.0,0.2,200,100,700,,100.0
116,,,-99999.0,0.2,200,100,1100,,100.0
117,,,-99999.0,0.2,200,100,2000,,100.0
118,,,-99999.0,0.2,200,100,2300,,100.0
119,,,-99999.0,0.2,200,100,2400,,100.0
120,,,-99999.0,0.2,200,100,2500,,100.0
121,,,-99999.0,0.2,200,100,3000,,100.0
122,,,-99999.0,0.2,200,100,3200,,100.0
123,,,-99999.0,0.2,200,100,3400,,100.0
124,,,-99999.0,0.2,200,100,3600,,100.0
125,,,-99999.0,0.2,200,100,3800,,100.0
126,,,-99999.0,0.2,200,100,4000,,100.0
127,,,-99999.0,0.2,200,100,4500,,100.0
128,,,-99999.0,0.2,200,100,5000,,100.0
129,,,-99999.0,0.2,200,100,5500,,100.0
130,,,-99999.0,0.2,200,100,6000,,100.0
131,,,-99999.0,0.2,200,100,7000,,100.0
132,,,-99999.0,0.2,200,100,7500,,100.0
133,,,-99999.0,0.2,200,100,9500,,100.0
134,,,-99999.0,0.2,200,100,9600,,100.0
135,,,-99999.0,0.2,200,100,10000,,100.0
136,,,-99999.0,0.2,200,100,12000,,100.0
137,,,-99999.0,0.2,200,100,15000,,100.0
138,,,-99999.0,0.2,200,100,20000,,100.0
139,,,-99999.0,0.2,200,100,30000,,100.0
140,,,-99999.0,0.2,200,100,40000,,100.0
141,,,-99999.0,0.2,200,200,100,,200.0
142,,,-99999.0,0.2,200,200,200,,200.0
143,,,-99999.0,0.2,200,200,700,,200.0
144,,,-99999.0,0.2,200,200,1100,,200.0
145,,,-99999.0,0.2,200,200,2000,,200.0
146,,,-99999.0,0.2,200,200,2300,,200.0
147,,,-99999.0,0.2,200,200,2400,,200.0
148,,,-99999.0,0.2,200,200,2500,,200.0
149,,,-99999.0,0.2,200,200,3000,,200.0
150,,,-99999.0,0.2,200,200,3200,,200.0
151,,,-99999.0,0.2,200,200,3400,,200.0
152,,,-99999.0,0.2,200,200,3600,,200.0
153,,,-99999.0,0.2,200,200,3800,,200.0
154,,,-99999.0,0.2,200,200,4000,,200.0
155,,,-99999.0,0.2,200,200,4500,,200.0
156,,,-99999.0,0.2,200,200,5000,,200.0
157,,,-99999.0,0.2,200,200,5500,,200.0
158,,,-99999.0,0.2,200,200,6000,,200.0
159,,,-99999.0,0.2,200,200,7000,,200.0
160,,,-99999.0,0.2,200,200,7500,,200.0
161,,,-99999.0,0.2,200,200,9500,,200.0
162,,,-99999.0,0.2,200,200,9600,,200.0
163,,,-99999.0,0.2,200,200,10000,,200.0
164,,,-99999.0,0.2,200,200,12000,,200.0
165,,,-99999.0,0.2,200,200,15000,,200.0
166,,,-99999.0,0.2,200,200,20000,,200.0
167,,,-99999.0,0.2,200,200,30000,,200.0
168,,,-99999.0,0.2,200,200,40000,,200.0
169,,,-99999.0,0.2,300,0,100,,100.0
170,,,-99999.0,0.2,300,0,200,,200.0
171,,,-99999.0,0.2,300,0,700,,300.0
172,,,-99999.0,0.2,300,0,1100,,300.0
173,,,-99999.0,0.2,300,0,2000,,300.0
174,,,-99999.0,0.2,300,0,2300,,300.0
175,,,-99999.0,0.2,300,0,2400,,300.0
176,,,-99999.0,0.2,300,0,2500,,300.0
177,,,-99999.0,0.2,300,0,3000,,300.0
178,,,-99999.0,0.2,300,0,3200,,300.0
179,,,-99999.0,0.2,300,0,3400,,300.0
180,,,-99999.0,0.2,300,0,3600,,300.0
181,,,-99999.0,0.2,300,0,3800,,300.0
182,,,-99999.0,0.2,300,0,4000,,300.0
183,,,-99999.0,0.2,300,0,4500,,300.0
184,,,-99999.0,0.2,300,0,5000,,300.0
185,,,-99999.0,0.2,300,0,5500,,300.0
186,,,-99999.0,0.2,300,0,6000,,300.0
187,,,-99999.0,0.2,300,0,7000,,300.0
188,,,-99999.0,0.2,300,0,7500,,300.0
189,,,-99999.0,0.2,300,0,9500,,300.0
190,,,-99999.0,0.2,300,0,9600,,300.0
191,,,-99999.0,0.2,300,0,10000,,300.0
192,,,-99999.0,0.2,300,0,12000,,300.0
193,,,-99999.0,0.2,300,0,15000,,300.0
194,,,-99999.0,0.2,300,0,20000,,300.0
195,,,-99999.0,0.2,300,0,30000,,300.0
196,,,-99999.0,0.2,300,0,40000,,300.0
197,,,-99999.0,0.2,300,100,100,,100.0
198,,,-99999.0,0.2,300,100,200,,100.0
199,,,-99999.0,0.2,300,100,700,,100.0
200,,,-99999.0,0.2,300,100,1100,,100.0
201,,,-99999.0,0.2,300,100,2000,,100.0
202,,,-99999.0,0.2,300,100,2300,,100.0
203,,,-99999.0,0.2,300,100,2400,,100.0
204,,,-99999.0,0.2,300,100,2500,,100.0
205,,,-99999.0,0.2,300,100,3000,,100.0
206,,,-99999.0,0.2,300,100,3200,,100.0
207,,,-99999.0,0.2,300,100,3400,,100.0
208,,,-99999.0,0.2,300,100,3600,,100.0
209,,,-99999.0,0.2,300,100,3800,,100.0
210,,,-99999.0,0.2,300,100,4000,,100.0
211,,,-99999.0,0.2,300,100,4500,,100.0
212,,,-99999.0,0.2,300,100,5000,,100.0
213,,,-99999.0,0.2,300,100,5500,,100.0
214,,,-99999.0,0.2,300,100,6000,,100.0
215,,,-99999.0,0.2,300,100,7000,,100.0
216,,,-99999.0,0.2,300,100,7500,,100.0
217,,,-99999.0,0.2,300,100,9500,,100.0
218,,,-99999.0,0.2,300,100,9600,,100.0
219,,,-99999.0,0.2,300,100,10000,,100.0
220,,,-99999.0,0.2,300,100,12000,,100.0
221,,,-99999.0,0.2,300,100,15000,,100.0
222,,,-99999.0,0.2,300,100,20000,,100.0
223,,,-99999.0,0.2,300,100,30000,,100.0
224,,,-99999.0,0.2,300,100,40000,,100.0
225,,,-99999.0,0.2,300,200,100,,200.0
226,,,-99999.0,0.2,300,200,200,,200.0
227,,,-99999.0,0.2,300,200,700,,200.0
228,,,-99999.0,0.2,300,200,1100,,200.0
229,,,-99999.0,0.2,300,200,2000,,200.0
230,,,-99999.0,0.2,300,200,2300,,200.0
231,,,-99999.0,0.2,300,200,2400,,200.0
232,,,-99999.0,0.2,300,200,2500,,200.0
233,,,-99999.0,0.2,300,200,3000,,200.0
234,,,-99999.0,0.2,300,200,3200,,200.0
235,,,-99999.0,0.2,300,200,3400,,200.0
236,,,-99999.0,0.2,300,200,3600,,200.0
237,,,-99999.0,0.2,300,200,3800,,200.0
238,,,-99999.0,0.2,300,200,4000,,200.0
239,,,-99999.0,0.2,300,200,4500,,200.0
