Data-ID,Result-State,Result-Detail,rangeScoreInterno,payloadParamBTS.segmentacaoPolitica,faixaRendaBruta,payloadParam.solicitante.flagFuncionario,cpf6e7Digito,payloadParam.solicitante.flagCCRot,payloadParam.solicitante.mediaSaldoTotal,result:segmentacaoSubgrupo,expected:segmentacaoSubgrupo,result:alavancagem,expected:alavancagem,result:limiteTeto,expected:limiteTeto,result:limitePiso,expected:limitePiso,result:limiteFixo,expected:limiteFixo,result:aprovadoBAUAux,expected:aprovadoBAUAux,result:aprovadoSmallLimitsAux,expected:aprovadoSmallLimitsAux
1,,,R10,P1 - Funcionarios,d. >= 15k,0,99,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
2,,,R1,P1 - Funcionarios,a. Sem renda,0,0,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
3,,,R1,P1 - Funcionarios,a. Sem renda,0,43,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
4,,,R1,P1 - Funcionarios,a. Sem renda,0,44,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
5,,,R1,P1 - Funcionarios,a. Sem renda,0,45,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
6,,,R1,P1 - Funcionarios,a. Sem renda,0,46,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
7,,,R1,P1 - Funcionarios,a. Sem renda,0,88,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
8,,,R1,P1 - Funcionarios,a. Sem renda,0,89,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
9,,,R1,P1 - Funcionarios,a. Sem renda,0,90,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
10,,,R1,P1 - Funcionarios,a. Sem renda,0,91,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
11,,,R1,P1 - Funcionarios,a. Sem renda,0,99,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
12,,,R1,P1 - Funcionarios,a. Sem renda,1,0,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
13,,,R1,P1 - Funcionarios,a. Sem renda,1,43,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
14,,,R1,P1 - Funcionarios,a. Sem renda,1,44,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
15,,,R1,P1 - Funcionarios,a. Sem renda,1,45,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
16,,,R1,P1 - Funcionarios,a. Sem renda,1,46,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
17,,,R1,P1 - Funcionarios,a. Sem renda,1,88,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
18,,,R1,P1 - Funcionarios,a. Sem renda,1,89,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
19,,,R1,P1 - Funcionarios,a. Sem renda,1,90,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
20,,,R1,P1 - Funcionarios,a. Sem renda,1,91,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
21,,,R1,P1 - Funcionarios,a. Sem renda,1,99,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
22,,,R1,P1 - Funcionarios,a. < 4k,0,0,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
23,,,R1,P1 - Funcionarios,a. < 4k,0,43,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
24,,,R1,P1 - Funcionarios,a. < 4k,0,44,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
25,,,R1,P1 - Funcionarios,a. < 4k,0,45,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
26,,,R1,P1 - Funcionarios,a. < 4k,0,46,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
27,,,R1,P1 - Funcionarios,a. < 4k,0,88,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
28,,,R1,P1 - Funcionarios,a. < 4k,0,89,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
29,,,R1,P1 - Funcionarios,a. < 4k,0,90,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
30,,,R1,P1 - Funcionarios,a. < 4k,0,91,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
31,,,R1,P1 - Funcionarios,a. < 4k,0,99,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
32,,,R1,P1 - Funcionarios,a. < 4k,1,0,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
33,,,R1,P1 - Funcionarios,a. < 4k,1,43,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
34,,,R1,P1 - Funcionarios,a. < 4k,1,44,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
35,,,R1,P1 - Funcionarios,a. < 4k,1,45,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
36,,,R1,P1 - Funcionarios,a. < 4k,1,46,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
37,,,R1,P1 - Funcionarios,a. < 4k,1,88,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
38,,,R1,P1 - Funcionarios,a. < 4k,1,89,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
39,,,R1,P1 - Funcionarios,a. < 4k,1,90,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
40,,,R1,P1 - Funcionarios,a. < 4k,1,91,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
41,,,R1,P1 - Funcionarios,a. < 4k,1,99,1,40000,,FU_4K_01,,1.0,,4000.0,,300.0,,0,,1,,0
42,,,R1,P1 - Funcionarios,b. 4k - 10k,0,0,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
43,,,R1,P1 - Funcionarios,b. 4k - 10k,0,43,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
44,,,R1,P1 - Funcionarios,b. 4k - 10k,0,44,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
45,,,R1,P1 - Funcionarios,b. 4k - 10k,0,45,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
46,,,R1,P1 - Funcionarios,b. 4k - 10k,0,46,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
47,,,R1,P1 - Funcionarios,b. 4k - 10k,0,88,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
48,,,R1,P1 - Funcionarios,b. 4k - 10k,0,89,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
49,,,R1,P1 - Funcionarios,b. 4k - 10k,0,90,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
50,,,R1,P1 - Funcionarios,b. 4k - 10k,0,91,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
51,,,R1,P1 - Funcionarios,b. 4k - 10k,0,99,1,40000,,0,,0.0,,0.0,,0.0,,0,,0,,0
