Data-ID,Result-State,Result-Detail,payloadParam.etapa,flagErroBacen,marcacaoMesa,rendaLiquidaPicpay,rendaLiquidaPicpayBatch,listaRestritivosBacen#1.saldoVencido,listaRestritivosBacen#1.prejuizo,listaRestritivosBacen#1.creditoAVencerAdpos,listaRestritivosBacen#1.creditoFinanciadoCartoes,listaRestritivosBacen#1.creditoVencidoCartao,listaRestritivosBacen#1.creditoAVencerCartao,listaRestritivosBacen#1.limiteCartaoDisponivel,listaRestritivosBacen#1.limiteChequeDisponivel,listaRestritivosBacen#1.saldoBacenCheque,listaRestritivosBacen#1.renegociacaoBacen,listaRestritivosBacen#2.saldoVencido,listaRestritivosBacen#2.prejuizo,listaRestritivosBacen#2.creditoAVencerAdpos,listaRestritivosBacen#2.creditoFinanciadoCartoes,listaRestritivosBacen#2.creditoVencidoCartao,listaRestritivosBacen#2.creditoAVencerCartao,listaRestritivosBacen#2.limiteCartaoDisponivel,listaRestritivosBacen#2.limiteChequeDisponivel,listaRestritivosBacen#2.saldoBacenCheque,listaRestritivosBacen#2.renegociacaoBacen,listaRestritivosBacen#3.saldoVencido,listaRestritivosBacen#3.prejuizo,listaRestritivosBacen#3.creditoAVencerAdpos,listaRestritivosBacen#3.creditoFinanciadoCartoes,listaRestritivosBacen#3.creditoVencidoCartao,listaRestritivosBacen#3.creditoAVencerCartao,listaRestritivosBacen#3.limiteCartaoDisponivel,listaRestritivosBacen#3.limiteChequeDisponivel,listaRestritivosBacen#3.saldoBacenCheque,listaRestritivosBacen#3.renegociacaoBacen,result:regrasNegativas#1.nomeRegra,expected:regrasNegativas#1.nomeRegra,result:regrasNegativas#1.descRegra,expected:regrasNegativas#1.descRegra,result:regrasNegativas#2.nomeRegra,expected:regrasNegativas#2.nomeRegra,result:regrasNegativas#2.descRegra,expected:regrasNegativas#2.descRegra,result:regrasNegativas#3.nomeRegra,expected:regrasNegativas#3.nomeRegra,result:regrasNegativas#3.descRegra,expected:regrasNegativas#3.descRegra,result:regrasNegativas#4.nomeRegra,expected:regrasNegativas#4.nomeRegra,result:regrasNegativas#4.descRegra,expected:regrasNegativas#4.descRegra,result:regrasNegativas#5.nomeRegra,expected:regrasNegativas#5.nomeRegra,result:regrasNegativas#5.descRegra,expected:regrasNegativas#5.descRegra,result:regrasNegativas#6.nomeRegra,expected:regrasNegativas#6.nomeRegra,result:regrasNegativas#6.descRegra,expected:regrasNegativas#6.descRegra,result:regrasNegativas#7.nomeRegra,expected:regrasNegativas#7.nomeRegra,result:regrasNegativas#7.descRegra,expected:regrasNegativas#7.descRegra,result:regrasNegativas#8.nomeRegra,expected:regrasNegativas#8.nomeRegra,result:regrasNegativas#8.descRegra,expected:regrasNegativas#8.descRegra,result:regrasNegativas#9.nomeRegra,expected:regrasNegativas#9.nomeRegra,result:regrasNegativas#9.descRegra,expected:regrasNegativas#9.descRegra,result:regrasNegativas#10.nomeRegra,expected:regrasNegativas#10.nomeRegra,result:regrasNegativas#10.descRegra,expected:regrasNegativas#10.descRegra,result:statusDecisao,expected:statusDecisao,result:versionamentoPolitica,expected:versionamentoPolitica
1,,,BACEN M-1,false,XPTO,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
2,,,BACEN M-1,false,MESA,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
3,,,POLITICA CONCESSAO,false,MESA,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
4,,,BACEN M-1,false,XPTO,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
5,,,POLITICA CONCESSAO,false,XPTO,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
6,,,BACEN M-1,false,MESA,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
7,,,BACEN M-1,false,MESA,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
8,,,BACEN M-1,false,MESA,-99999,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
9,,,BACEN M-1,false,MESA,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
10,,,BACEN M-1,false,MESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
11,,,BACEN M-1,false,MESA,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0
