Data-ID,Result-State,Result-Detail,payloadParam.etapa,flagErroAurora,flagErroVisaoCliente,marcacaoMesa,limiteDisponivel,valorContratadoCartao,maxDiasAtraso,indFNV,indReneg,result:regrasNegativas#1.nomeRegra,expected:regrasNegativas#1.nomeRegra,result:regrasNegativas#1.descRegra,expected:regrasNegativas#1.descRegra,result:listaLogs#1.nome,expected:listaLogs#1.nome,result:listaLogs#1.valor,expected:listaLogs#1.valor,result:regrasNegativas#2.nomeRegra,expected:regrasNegativas#2.nomeRegra,result:regrasNegativas#2.descRegra,expected:regrasNegativas#2.descRegra,result:listaLogs#2.nome,expected:listaLogs#2.nome,result:listaLogs#2.valor,expected:listaLogs#2.valor,result:regrasNegativas#3.nomeRegra,expected:regrasNegativas#3.nomeRegra,result:regrasNegativas#3.descRegra,expected:regrasNegativas#3.descRegra,result:listaLogs#3.nome,expected:listaLogs#3.nome,result:listaLogs#3.valor,expected:listaLogs#3.valor,result:regrasNegativas#4.nomeRegra,expected:regrasNegativas#4.nomeRegra,result:regrasNegativas#4.descRegra,expected:regrasNegativas#4.descRegra,result:listaLogs#4.nome,expected:listaLogs#4.nome,result:listaLogs#4.valor,expected:listaLogs#4.valor,result:regrasNegativas#5.nomeRegra,expected:regrasNegativas#5.nomeRegra,result:regrasNegativas#5.descRegra,expected:regrasNegativas#5.descRegra,result:listaLogs#5.nome,expected:listaLogs#5.nome,result:listaLogs#5.valor,expected:listaLogs#5.valor,result:statusDecisao,expected:statusDecisao,result:vlrLimiteAprovado,expected:vlrLimiteAprovado,result:versionamentoPolitica,expected:versionamentoPolitica
1,,,FILTROS POLITICA,false,false,XPTO,10000,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0,,0
2,,,FILTROS POLITICA,false,false,XPTO,10000,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APROVADO,,0,,0
3,,,FILTROS POLITICA,false,false,-99999,-1,-1,0,true,true,,fn_nulosValidacoesInternas,,56. Não possui a informação de marcação mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGADO,,0,,1
4,,,FILTROS POLITICA,false,false,-99999,-1,-1,0,true,false,,fn_nulosValidacoesInternas,,56. Não possui a informação de marcação mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGADO,,0,,1
5,,,FILTROS POLITICA,false,false,-99999,-1,-1,0,false,true,,fn_nulosValidacoesInternas,,56. Não possui a informação de marcação mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGADO,,0,,1
6,,,FILTROS POLITICA,false,false,-99999,-1,-1,0,false,false,,fn_nulosValidacoesInternas,,56. Não possui a informação de marcação mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGADO,,0,,1
7,,,FILTROS POLITICA,false,false,-99999,-1,-1,4,true,true,,fn_nulosValidacoesInternas,,56. Não possui a informação de marcação mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGADO,,0,,1
8,,,FILTROS POLITICA,false,false,-99999,-1,-1,4,true,false,,fn_nulosValidacoesInternas,,56. Não possui a informação de marcação mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGADO,,0,,1
9,,,FILTROS POLITICA,false,false,-99999,-1,-1,4,false,true,,fn_nulosValidacoesInternas,,56. Não possui a informação de marcação mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGADO,,0,,1
10,,,FILTROS POLITICA,false,false,-99999,-1,-1,4,false,false,,fn_nulosValidacoesInternas,,56. Não possui a informação de marcação mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGADO,,0,,1
